,state,colony_number,yield_per_colony,productions,stocks,average_price,value_of_prod,year
0,Alabama,9000,54,73000,73000,240.0,1166000,2010
1,Arizona,24000,77,665000,665000,152.0,2809000,2010
2,Arkansas,25000,60,360000,360000,147.0,2205000,2010
3,California,410000,67,6318000,6318000,155.0,42579000,2010
4,Colorado,34000,56,533000,533000,152.0,2894000,2010
5,Florida,200000,69,1794000,1794000,156.0,21528000,2010
6,Georgia,55000,46,152000,152000,167.0,4225000,2010
7,Hawaii,10000,77,239000,239000,275.0,2118000,2010
8,Idaho,97000,27,1179000,1179000,161.0,4217000,2010
9,Illinois,9000,41,92000,92000,278.0,1026000,2010
10,Indiana,10000,43,151000,151000,223.0,959000,2010
11,Iowa,27000,49,463000,463000,192.0,2540000,2010
12,Kansas,9000,52,103000,103000,202.0,945000,2010
13,Kentucky,5000,67,67000,67000,272.0,911000,2010
14,Louisiana,36000,80,288000,288000,150.0,4320000,2010
15,Maine,5000,41,33000,33000,205.0,420000,2010
16,Michigan,71000,58,1524000,1524000,167.0,6877000,2010
17,Minnesota,128000,66,1774000,1774000,155.0,13094000,2010
18,Mississippi,16000,98,78000,78000,144.0,2258000,2010
19,Missouri,11000,52,92000,92000,180.0,1030000,2010
20,Montana,157000,74,2905000,2905000,158.0,18356000,2010
21,Nebraska,41000,55,902000,902000,151.0,3405000,2010
22,NewJersey,13000,35,73000,73000,190.0,865000,2010
23,NewMexico,7000,66,157000,157000,158.0,730000,2010
24,NewYork,45000,64,1123000,1123000,196.0,5645000,2010
25,NorthCarolina,13000,46,144000,144000,266.0,1591000,2010
26,NorthDakota,510000,91,12995000,12995000,150.0,69615000,2010
27,Ohio,18000,62,346000,346000,228.0,2544000,2010
28,Oregon,59000,39,874000,874000,163.0,3751000,2010
29,Pennsylvania,30000,37,377000,377000,213.0,2364000,2010
30,SouthDakota,265000,58,4765000,4765000,151.0,23209000,2010
31,Tennessee,8000,63,106000,106000,250.0,1260000,2010
32,Texas,100000,72,792000,792000,151.0,10872000,2010
33,Utah,26000,30,195000,195000,153.0,1193000,2010
